Equipo,Team_Code,Url
Real Madrid,RMB,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6210.png
Casademont Zaragoza,ZGZ,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6220.png
Barça,BAR,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6216.png
RETAbet Bilbao Basket,RBB,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6268.png
San Pablo Burgos,BUR,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6233.png
Valencia Basket Club,VBC,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6206.png
Kirolbet Baskonia,KBA,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6205.png
Iberostar Tenerife,IBT,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6203.png
Unicaja,UNI,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6203.png
MoraBanc Andorra,MBA,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/9433.png
Movistar Estudiantes,MOV,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6201.png
UCAM Murcia CB,UCM,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6232.png
Herbalife Gran Canaria,HGC,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6214.png
C. Joventut Badalona,JOV,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6204.png
Coosur Real Betis,BET,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6207.png
Montakit Fuenlabrada,MKF,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6217.png
Monbus Obradoiro,MOB,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/9473.png
BAXI Manresa,BAX,https://e00-marca.uecdn.es/assets/sports/logos/basket/png/144x144/6215.png
